stay_date,occ_forecast
2025-06-25,0.8660779045520279
2025-06-26,0.8377911999289692
2025-06-27,0.8132985393449739
2025-06-28,0.7999537985901561
2025-06-29,0.7537958571835721
2025-06-30,0.7393612081636808
2025-07-01,0.7376321087356066
2025-07-02,0.7556421948322907
2025-07-03,0.7522843988705257
2025-07-04,0.7319928152278565
2025-07-05,0.7457278355435533
2025-07-06,0.7505415058576989
2025-07-07,0.7841697259307163
2025-07-08,0.8015842727505378
2025-07-09,0.8329282894758755
2025-07-10,0.8350338881139255
2025-07-11,0.8330353846343929
2025-07-12,0.8102137016818795
2025-07-13,0.8057955900952065
2025-07-14,0.8413964335998073
2025-07-15,0.8402230286644857
2025-07-16,0.8399828116215613
2025-07-17,0.8528709499884034
2025-07-18,0.8545686457339403
2025-07-19,0.8319213575140574
